_id,end,start,tweet_count
ObjectId(626ef77309d7c24447c96252),2022-03-23T00:00:00.000Z,2022-03-22T00:00:00.000Z,485881
ObjectId(626ef77309d7c24447c96253),2022-03-24T00:00:00.000Z,2022-03-23T00:00:00.000Z,403021
ObjectId(626ef77309d7c24447c96254),2022-03-25T00:00:00.000Z,2022-03-24T00:00:00.000Z,460729
ObjectId(626ef77309d7c24447c96255),2022-03-26T00:00:00.000Z,2022-03-25T00:00:00.000Z,428889
ObjectId(626ef77309d7c24447c96256),2022-03-27T00:00:00.000Z,2022-03-26T00:00:00.000Z,341332
ObjectId(626ef77309d7c24447c96257),2022-03-28T00:00:00.000Z,2022-03-27T00:00:00.000Z,359432
ObjectId(626ef77309d7c24447c96258),2022-03-29T00:00:00.000Z,2022-03-28T00:00:00.000Z,451017
ObjectId(626ef77309d7c24447c96259),2022-01-27T00:00:00.000Z,2022-01-26T00:00:00.000Z,455268
ObjectId(626ef77309d7c24447c9625a),2022-01-28T00:00:00.000Z,2022-01-27T00:00:00.000Z,386713
ObjectId(626ef77309d7c24447c9625b),2022-01-29T00:00:00.000Z,2022-01-28T00:00:00.000Z,406142
ObjectId(626ef77309d7c24447c9625c),2022-01-30T00:00:00.000Z,2022-01-29T00:00:00.000Z,345822
ObjectId(626ef77309d7c24447c9625d),2022-01-31T00:00:00.000Z,2022-01-30T00:00:00.000Z,335624
ObjectId(626ef77309d7c24447c9625e),2022-02-01T00:00:00.000Z,2022-01-31T00:00:00.000Z,390402
ObjectId(626ef77309d7c24447c9625f),2022-02-02T00:00:00.000Z,2022-02-01T00:00:00.000Z,440230
ObjectId(626ef77309d7c24447c96260),2022-02-03T00:00:00.000Z,2022-02-02T00:00:00.000Z,404122
ObjectId(626ef77309d7c24447c96261),2022-02-04T00:00:00.000Z,2022-02-03T00:00:00.000Z,353945
ObjectId(626ef77309d7c24447c96262),2022-02-05T00:00:00.000Z,2022-02-04T00:00:00.000Z,394643
ObjectId(626ef77309d7c24447c96263),2022-02-06T00:00:00.000Z,2022-02-05T00:00:00.000Z,441332
ObjectId(626ef77309d7c24447c96264),2022-02-07T00:00:00.000Z,2022-02-06T00:00:00.000Z,390468
ObjectId(626ef77309d7c24447c96265),2022-02-08T00:00:00.000Z,2022-02-07T00:00:00.000Z,483900
ObjectId(626ef77309d7c24447c96266),2022-02-09T00:00:00.000Z,2022-02-08T00:00:00.000Z,523415
ObjectId(626ef77309d7c24447c96267),2022-02-10T00:00:00.000Z,2022-02-09T00:00:00.000Z,525796
ObjectId(626ef77309d7c24447c96268),2022-02-11T00:00:00.000Z,2022-02-10T00:00:00.000Z,465275
ObjectId(626ef77309d7c24447c96269),2022-02-12T00:00:00.000Z,2022-02-11T00:00:00.000Z,425866
ObjectId(626ef77309d7c24447c9626a),2022-02-13T00:00:00.000Z,2022-02-12T00:00:00.000Z,417861
ObjectId(626ef77309d7c24447c9626b),2022-02-14T00:00:00.000Z,2022-02-13T00:00:00.000Z,445832
ObjectId(626ef77309d7c24447c9626c),2022-02-15T00:00:00.000Z,2022-02-14T00:00:00.000Z,700990
ObjectId(626ef77309d7c24447c9626d),2022-02-16T00:00:00.000Z,2022-02-15T00:00:00.000Z,500661
ObjectId(626ef77309d7c24447c9626e),2022-02-17T00:00:00.000Z,2022-02-16T00:00:00.000Z,478895
ObjectId(626ef77309d7c24447c9626f),2022-02-18T00:00:00.000Z,2022-02-17T00:00:00.000Z,474054
ObjectId(626ef77309d7c24447c96270),2022-02-19T00:00:00.000Z,2022-02-18T00:00:00.000Z,439503
ObjectId(626ef77309d7c24447c96271),2022-02-20T00:00:00.000Z,2022-02-19T00:00:00.000Z,404665
ObjectId(626ef77309d7c24447c96272),2022-02-21T00:00:00.000Z,2022-02-20T00:00:00.000Z,408842
ObjectId(626ef77309d7c24447c96273),2022-02-22T00:00:00.000Z,2022-02-21T00:00:00.000Z,422923
ObjectId(626ef77309d7c24447c96274),2022-02-23T00:00:00.000Z,2022-02-22T00:00:00.000Z,424124
ObjectId(626ef77309d7c24447c96275),2022-02-24T00:00:00.000Z,2022-02-23T00:00:00.000Z,438376
ObjectId(626ef77309d7c24447c96276),2022-02-25T00:00:00.000Z,2022-02-24T00:00:00.000Z,457395
ObjectId(626ef77309d7c24447c96277),2022-02-26T00:00:00.000Z,2022-02-25T00:00:00.000Z,425619
ObjectId(626ef77409d7c24447c96278),2022-01-02T00:00:00.000Z,2022-01-01T00:00:00.000Z,272502
ObjectId(626ef77409d7c24447c96279),2022-01-03T00:00:00.000Z,2022-01-02T00:00:00.000Z,345928
ObjectId(626ef77409d7c24447c9627a),2022-01-04T00:00:00.000Z,2022-01-03T00:00:00.000Z,372382
ObjectId(626ef77409d7c24447c9627b),2022-01-05T00:00:00.000Z,2022-01-04T00:00:00.000Z,378775
ObjectId(626ef77409d7c24447c9627c),2022-01-06T00:00:00.000Z,2022-01-05T00:00:00.000Z,397225
ObjectId(626ef77409d7c24447c9627d),2022-01-07T00:00:00.000Z,2022-01-06T00:00:00.000Z,415629
ObjectId(626ef77409d7c24447c9627e),2022-01-08T00:00:00.000Z,2022-01-07T00:00:00.000Z,404238
ObjectId(626ef77409d7c24447c9627f),2022-01-09T00:00:00.000Z,2022-01-08T00:00:00.000Z,376281
ObjectId(626ef77409d7c24447c96280),2022-01-10T00:00:00.000Z,2022-01-09T00:00:00.000Z,352171
ObjectId(626ef77409d7c24447c96281),2022-01-11T00:00:00.000Z,2022-01-10T00:00:00.000Z,399877
ObjectId(626ef77409d7c24447c96282),2022-01-12T00:00:00.000Z,2022-01-11T00:00:00.000Z,378525
ObjectId(626ef77409d7c24447c96283),2022-01-13T00:00:00.000Z,2022-01-12T00:00:00.000Z,382931
ObjectId(626ef77409d7c24447c96284),2022-01-14T00:00:00.000Z,2022-01-13T00:00:00.000Z,370606
ObjectId(626ef77409d7c24447c96285),2022-01-15T00:00:00.000Z,2022-01-14T00:00:00.000Z,375658
ObjectId(626ef77409d7c24447c96286),2022-01-16T00:00:00.000Z,2022-01-15T00:00:00.000Z,335340
ObjectId(626ef77409d7c24447c96287),2022-01-17T00:00:00.000Z,2022-01-16T00:00:00.000Z,345790
ObjectId(626ef77409d7c24447c96288),2022-01-18T00:00:00.000Z,2022-01-17T00:00:00.000Z,354775
ObjectId(626ef77409d7c24447c96289),2022-01-19T00:00:00.000Z,2022-01-18T00:00:00.000Z,368650
ObjectId(626ef77409d7c24447c9628a),2022-01-20T00:00:00.000Z,2022-01-19T00:00:00.000Z,383496
ObjectId(626ef77409d7c24447c9628b),2022-01-21T00:00:00.000Z,2022-01-20T00:00:00.000Z,375271
ObjectId(626ef77409d7c24447c9628c),2022-01-22T00:00:00.000Z,2022-01-21T00:00:00.000Z,477325
ObjectId(626ef77409d7c24447c9628d),2022-01-23T00:00:00.000Z,2022-01-22T00:00:00.000Z,475138
ObjectId(626ef77409d7c24447c9628e),2022-01-24T00:00:00.000Z,2022-01-23T00:00:00.000Z,436563
ObjectId(626ef77409d7c24447c9628f),2022-01-25T00:00:00.000Z,2022-01-24T00:00:00.000Z,454587
ObjectId(626ef77409d7c24447c96290),2022-01-26T00:00:00.000Z,2022-01-25T00:00:00.000Z,425900
