_id,end,start,tweet_count
ObjectId(626f6a1d10fcafb74b6f2fc3),2021-10-27T00:00:00.000Z,2021-10-26T00:00:00.000Z,299139
ObjectId(626f6a1d10fcafb74b6f2fc4),2021-10-28T00:00:00.000Z,2021-10-27T00:00:00.000Z,290056
ObjectId(626f6a1d10fcafb74b6f2fc5),2021-10-29T00:00:00.000Z,2021-10-28T00:00:00.000Z,278998
ObjectId(626f6a1d10fcafb74b6f2fc6),2021-10-30T00:00:00.000Z,2021-10-29T00:00:00.000Z,272585
ObjectId(626f6a1d10fcafb74b6f2fc7),2021-10-31T00:00:00.000Z,2021-10-30T00:00:00.000Z,236480
ObjectId(626f6a1d10fcafb74b6f2fc8),2021-11-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,260541
ObjectId(626f6a1d10fcafb74b6f2fc9),2021-11-02T00:00:00.000Z,2021-11-01T00:00:00.000Z,279768
ObjectId(626f6a1d10fcafb74b6f2fca),2021-11-03T00:00:00.000Z,2021-11-02T00:00:00.000Z,300512
ObjectId(626f6a1d10fcafb74b6f2fcb),2021-11-04T00:00:00.000Z,2021-11-03T00:00:00.000Z,293410
ObjectId(626f6a1d10fcafb74b6f2fcc),2021-11-05T00:00:00.000Z,2021-11-04T00:00:00.000Z,280232
ObjectId(626f6a1d10fcafb74b6f2fcd),2021-11-06T00:00:00.000Z,2021-11-05T00:00:00.000Z,284856
ObjectId(626f6a1d10fcafb74b6f2fce),2021-11-07T00:00:00.000Z,2021-11-06T00:00:00.000Z,270786
ObjectId(626f6a1d10fcafb74b6f2fcf),2021-11-08T00:00:00.000Z,2021-11-07T00:00:00.000Z,251111
ObjectId(626f6a1d10fcafb74b6f2fd0),2021-11-09T00:00:00.000Z,2021-11-08T00:00:00.000Z,349266
ObjectId(626f6a1d10fcafb74b6f2fd1),2021-11-10T00:00:00.000Z,2021-11-09T00:00:00.000Z,393475
ObjectId(626f6a1d10fcafb74b6f2fd2),2021-11-11T00:00:00.000Z,2021-11-10T00:00:00.000Z,338856
ObjectId(626f6a1d10fcafb74b6f2fd3),2021-11-12T00:00:00.000Z,2021-11-11T00:00:00.000Z,304009
ObjectId(626f6a1d10fcafb74b6f2fd4),2021-11-13T00:00:00.000Z,2021-11-12T00:00:00.000Z,335699
ObjectId(626f6a1d10fcafb74b6f2fd5),2021-11-14T00:00:00.000Z,2021-11-13T00:00:00.000Z,325795
ObjectId(626f6a1d10fcafb74b6f2fd6),2021-11-15T00:00:00.000Z,2021-11-14T00:00:00.000Z,350780
ObjectId(626f6a1d10fcafb74b6f2fd7),2021-11-16T00:00:00.000Z,2021-11-15T00:00:00.000Z,354599
ObjectId(626f6a1d10fcafb74b6f2fd8),2021-11-17T00:00:00.000Z,2021-11-16T00:00:00.000Z,354281
ObjectId(626f6a1d10fcafb74b6f2fd9),2021-11-18T00:00:00.000Z,2021-11-17T00:00:00.000Z,345658
ObjectId(626f6a1d10fcafb74b6f2fda),2021-11-19T00:00:00.000Z,2021-11-18T00:00:00.000Z,357503
ObjectId(626f6a1d10fcafb74b6f2fdb),2021-11-20T00:00:00.000Z,2021-11-19T00:00:00.000Z,348335
ObjectId(626f6a1d10fcafb74b6f2fdc),2021-11-21T00:00:00.000Z,2021-11-20T00:00:00.000Z,316755
ObjectId(626f6a1d10fcafb74b6f2fdd),2021-11-22T00:00:00.000Z,2021-11-21T00:00:00.000Z,367034
ObjectId(626f6a1d10fcafb74b6f2fde),2021-11-23T00:00:00.000Z,2021-11-22T00:00:00.000Z,355292
ObjectId(626f6a1d10fcafb74b6f2fdf),2021-11-24T00:00:00.000Z,2021-11-23T00:00:00.000Z,372084
ObjectId(626f6a1d10fcafb74b6f2fe0),2021-11-25T00:00:00.000Z,2021-11-24T00:00:00.000Z,351673
ObjectId(626f6a1d10fcafb74b6f2fe1),2021-09-25T00:00:00.000Z,2021-09-24T00:00:00.000Z,409954
ObjectId(626f6a1d10fcafb74b6f2fe2),2021-09-26T00:00:00.000Z,2021-09-25T00:00:00.000Z,285771
ObjectId(626f6a1d10fcafb74b6f2fe3),2021-09-27T00:00:00.000Z,2021-09-26T00:00:00.000Z,242418
ObjectId(626f6a1d10fcafb74b6f2fe4),2021-09-28T00:00:00.000Z,2021-09-27T00:00:00.000Z,269019
ObjectId(626f6a1d10fcafb74b6f2fe5),2021-09-29T00:00:00.000Z,2021-09-28T00:00:00.000Z,258965
ObjectId(626f6a1d10fcafb74b6f2fe6),2021-09-30T00:00:00.000Z,2021-09-29T00:00:00.000Z,272532
ObjectId(626f6a1d10fcafb74b6f2fe7),2021-10-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,270420
ObjectId(626f6a1d10fcafb74b6f2fe8),2021-10-02T00:00:00.000Z,2021-10-01T00:00:00.000Z,307255
ObjectId(626f6a1d10fcafb74b6f2fe9),2021-10-03T00:00:00.000Z,2021-10-02T00:00:00.000Z,230143
ObjectId(626f6a1d10fcafb74b6f2fea),2021-10-04T00:00:00.000Z,2021-10-03T00:00:00.000Z,238059
ObjectId(626f6a1d10fcafb74b6f2feb),2021-10-05T00:00:00.000Z,2021-10-04T00:00:00.000Z,296756
